Region,ARN
ap-east-1,arn:aws:lambda:ap-east-1:347599033421:layer:wkhtmltopdf-0_12_5:1
ap-northeast-1,arn:aws:lambda:ap-northeast-1:347599033421:layer:wkhtmltopdf-0_12_5:1
ap-northeast-2,arn:aws:lambda:ap-northeast-2:347599033421:layer:wkhtmltopdf-0_12_5:1
ap-south-1,arn:aws:lambda:ap-south-1:347599033421:layer:wkhtmltopdf-0_12_5:1
ap-southeast-1,arn:aws:lambda:ap-southeast-1:347599033421:layer:wkhtmltopdf-0_12_5:1
ap-southeast-2,arn:aws:lambda:ap-southeast-2:347599033421:layer:wkhtmltopdf-0_12_5:1
ca-central-1,arn:aws:lambda:ca-central-1:347599033421:layer:wkhtmltopdf-0_12_5:1
eu-central-1,arn:aws:lambda:eu-central-1:347599033421:layer:wkhtmltopdf-0_12_5:1
eu-north-1,arn:aws:lambda:eu-north-1:347599033421:layer:wkhtmltopdf-0_12_5:1
eu-west-1,arn:aws:lambda:eu-west-1:347599033421:layer:wkhtmltopdf-0_12_5:1
eu-west-2,arn:aws:lambda:eu-west-2:347599033421:layer:wkhtmltopdf-0_12_5:1
eu-west-3,arn:aws:lambda:eu-west-3:347599033421:layer:wkhtmltopdf-0_12_5:1
sa-east-1,arn:aws:lambda:sa-east-1:347599033421:layer:wkhtmltopdf-0_12_5:1
us-east-1,arn:aws:lambda:us-east-1:347599033421:layer:wkhtmltopdf-0_12_5:1
us-east-2,arn:aws:lambda:us-east-2:347599033421:layer:wkhtmltopdf-0_12_5:1
us-west-1,arn:aws:lambda:us-west-1:347599033421:layer:wkhtmltopdf-0_12_5:1
us-west-2,arn:aws:lambda:us-west-2:347599033421:layer:wkhtmltopdf-0_12_5:1
